车型,发动机类型,燃油类型,变速箱类型,排量(L),整备质量(kg),马力(hp),路况类型,交通状况,天气状况,环境温度(℃),驾驶风格,平均车速(km/h),车速波动,加速强度,刹车频率,定速巡航占比,海拔变化(m),胎压(bar),空调使用,乘客人数,行李重量(kg),纵向加速度均值(m/s²),纵向加速度标准差(m/s²),横向加速度均值(m/s²),横向加速度标准差(m/s²),急加速事件次数,急刹车事件次数,急变道事件次数,加减速切换频率(次/小时),怠速时间占比,大油门持续占比,加速度变化率均值(m/s³),百公里油耗(L)
跑车,混动,汽油,双离合,3.0,1302.0,263.0,城市道路,严重拥堵,雪天,3.3,激进,90.9,10.9,0.72,0.51,0.76,21.0,2.6,0,2,59.0,2.7,1.068,0.392,0.506,6,4,1,12.3,0.08,0.176,2.377,25.0
轿车,自然吸气,柴油,自动,3.1,2145.0,269.0,山区公路,畅通,晴天,9.2,温和,114.7,22.4,0.4,0.21,0.63,367.0,2.0,1,4,168.0,0.162,0.334,0.729,0.148,0,2,1,5.3,0.276,0.052,0.284,20.42
MPV,插电混动,汽油,双离合,2.2,1371.0,360.0,山区公路,畅通,雾天,2.5,激进,35.7,15.8,0.33,0.71,0.54,398.0,2.6,1,1,114.0,3.073,1.24,0.205,0.636,0,1,1,18.5,0.08,0.132,1.36,21.66
MPV,涡轮增压,柴油,CVT,1.2,2219.0,186.0,山区公路,缓行,雪天,22.1,温和,63.3,29.0,0.37,0.14,0.3,472.0,2.7,1,1,126.0,0.359,0.223,0.578,0.057,0,0,0,8.9,0.08,0.031,0.285,22.33
皮卡,混动,汽油,自动,3.1,1750.0,204.0,城市道路,严重拥堵,晴天,22.8,激进,59.8,14.2,0.26,0.44,0.21,144.0,3.0,0,1,121.0,0.692,0.268,2.149,0.331,1,2,0,26.2,0.068,0.122,2.04,25.0
MPV,涡轮增压,汽油,自动,2.8,1607.0,181.0,高速公路,畅通,雨天,26.8,激进,79.8,35.3,0.86,0.17,0.12,472.0,2.9,0,3,41.0,2.301,1.0,1.588,0.421,0,1,2,23.4,0.058,0.121,2.648,21.99
SUV,自然吸气,柴油,手动,3.2,2389.0,230.0,高速公路,缓行,雪天,21.9,温和,45.9,20.2,0.68,0.11,0.47,307.0,2.2,0,2,143.0,0.246,0.138,0.665,0.229,0,0,0,3.5,0.134,0.004,0.494,21.03
轿车,混动,汽油,手动,3.2,1989.0,302.0,乡村公路,畅通,雨天,17.2,标准,28.1,38.3,0.77,0.66,0.66,466.0,2.2,0,4,123.0,1.86,0.696,0.84,0.097,3,0,0,16.4,0.195,0.094,0.982,20.14
跑车,自然吸气,汽油,手动,3.1,1756.0,233.0,山区公路,严重拥堵,雪天,-8.9,激进,84.9,37.8,0.15,0.68,0.23,222.0,2.3,1,5,101.0,0.627,0.755,2.099,0.175,3,0,0,6.1,0.058,0.12,2.434,25.0
SUV,自然吸气,柴油,双离合,3.4,2091.0,133.0,山区公路,畅通,晴天,7.7,标准,48.9,15.8,0.3,0.46,0.43,178.0,2.8,1,1,158.0,0.946,0.833,1.435,0.236,3,0,0,11.3,0.158,0.023,1.588,22.23
皮卡,插电混动,汽油,自动,3.6,2173.0,232.0,城市道路,拥堵,雨天,-4.1,温和,81.1,10.6,0.64,0.23,0.56,115.0,2.2,1,5,0.0,0.905,0.346,0.415,0.074,0,0,0,8.2,0.132,0.021,0.229,23.77
跑车,混动,柴油,手动,1.7,1875.0,282.0,乡村公路,严重拥堵,雾天,20.8,温和,44.5,7.0,0.41,0.26,0.18,480.0,2.6,0,4,83.0,0.6,0.271,0.541,0.22,0,0,0,8.0,0.249,0.032,0.237,21.81
皮卡,涡轮增压,柴油,手动,2.0,1386.0,308.0,乡村公路,严重拥堵,雾天,-9.1,标准,40.6,18.7,0.82,0.24,0.41,210.0,2.8,1,4,14.0,1.296,0.557,0.987,0.432,1,3,2,14.9,0.147,0.022,1.582,25.0
MPV,混动,柴油,手动,3.6,1806.0,123.0,高速公路,严重拥堵,晴天,9.5,温和,58.8,33.1,0.82,0.24,0.05,439.0,2.5,0,4,194.0,0.22,0.313,0.111,0.131,1,2,0,4.1,0.172,0.004,0.427,20.65
轿车,混动,汽油,CVT,3.0,2121.0,103.0,城市道路,拥堵,晴天,17.4,标准,41.8,28.2,0.49,0.1,0.64,386.0,2.1,1,1,153.0,1.526,0.73,1.157,0.494,1,3,0,16.4,0.214,0.109,1.438,22.02
MPV,混动,柴油,双离合,2.8,2050.0,367.0,城市道路,缓行,雨天,0.1,激进,77.9,27.1,0.23,0.43,0.57,135.0,2.3,0,1,48.0,1.127,0.677,2.059,0.501,1,3,1,20.1,0.07,0.169,1.882,23.32
MPV,混动,汽油,手动,1.6,2103.0,166.0,乡村公路,缓行,雾天,-0.6,激进,79.5,14.3,0.63,0.67,0.62,380.0,2.1,1,1,140.0,1.61,0.686,0.244,0.3,0,2,0,19.5,0.078,0.162,2.448,23.36
SUV,混动,柴油,自动,2.0,2371.0,399.0,乡村公路,拥堵,晴天,39.9,温和,102.5,34.6,0.3,0.5,0.05,47.0,2.3,1,1,150.0,0.997,0.395,0.748,0.095,0,0,0,1.7,0.168,0.047,0.575,22.84
SUV,自然吸气,汽油,CVT,1.7,1219.0,329.0,高速公路,严重拥堵,雾天,21.2,标准,82.4,31.7,0.13,0.69,0.5,282.0,2.9,0,3,117.0,1.52,0.893,1.164,0.299,2,3,1,17.9,0.266,0.078,1.507,21.3
MPV,混动,汽油,手动,3.1,1971.0,116.0,城市道路,缓行,雨天,15.0,激进,65.5,28.6,0.64,0.36,0.75,84.0,2.7,0,3,139.0,2.493,0.502,0.503,0.605,3,2,0,22.0,0.121,0.126,2.336,23.21
皮卡,插电混动,柴油,手动,2.2,1400.0,272.0,山区公路,严重拥堵,雪天,-8.4,温和,47.7,37.2,0.57,0.51,0.28,26.0,2.4,1,4,17.0,0.787,0.404,0.669,0.208,0,2,1,7.5,0.359,0.002,0.823,24.08
轿车,混动,柴油,手动,2.9,2465.0,240.0,乡村公路,畅通,雨天,32.6,标准,104.7,7.2,0.37,0.15,0.78,408.0,2.9,0,2,17.0,1.11,0.175,0.411,0.184,1,0,0,5.2,0.264,0.091,1.752,14.53
MPV,涡轮增压,汽油,手动,3.4,1624.0,190.0,乡村公路,拥堵,雪天,0.5,温和,43.3,9.5,0.31,0.35,0.54,31.0,2.8,1,4,29.0,0.51,0.397,0.167,0.052,1,1,0,5.9,0.212,0.009,0.618,21.03
SUV,涡轮增压,柴油,手动,1.8,1834.0,125.0,高速公路,拥堵,晴天,26.3,标准,66.0,15.7,0.76,0.14,0.33,229.0,2.6,1,1,133.0,1.932,0.793,0.553,0.351,4,2,1,8.4,0.238,0.049,0.792,20.62
皮卡,自然吸气,柴油,手动,1.4,1455.0,385.0,山区公路,严重拥堵,雾天,17.6,标准,37.5,24.9,0.56,0.44,0.52,115.0,2.4,1,1,132.0,0.597,0.565,0.376,0.21,1,1,3,8.6,0.224,0.044,0.431,25.0
MPV,涡轮增压,柴油,自动,2.7,2299.0,339.0,乡村公路,畅通,雾天,3.2,温和,37.5,28.5,0.28,0.25,0.7,125.0,2.0,1,5,174.0,0.982,0.305,0.578,0.071,1,0,0,8.4,0.072,0.017,0.306,22.18
皮卡,自然吸气,柴油,自动,2.4,1806.0,328.0,乡村公路,拥堵,雨天,9.9,标准,35.4,22.1,0.44,0.52,0.8,385.0,2.8,0,5,34.0,0.364,0.279,0.59,0.336,3,0,0,11.3,0.144,0.101,0.541,23.7
轿车,涡轮增压,柴油,自动,1.1,1784.0,171.0,乡村公路,缓行,雨天,9.0,温和,25.0,30.4,0.19,0.53,0.22,87.0,2.8,1,2,78.0,0.938,0.109,0.593,0.094,1,1,0,1.6,0.308,0.031,0.731,14.51
SUV,涡轮增压,汽油,双离合,1.1,2450.0,300.0,高速公路,严重拥堵,雾天,37.4,激进,113.3,14.3,0.59,0.57,0.25,424.0,2.9,1,3,148.0,1.324,0.509,2.174,0.098,5,0,1,12.2,0.155,0.168,0.868,25.0
SUV,插电混动,汽油,手动,2.1,2407.0,119.0,山区公路,严重拥堵,雪天,15.1,标准,29.2,10.7,0.58,0.21,0.77,223.0,2.2,1,5,94.0,1.69,0.706,1.16,0.372,3,0,0,13.0,0.138,0.048,1.627,25.0
轿车,混动,柴油,CVT,1.8,1448.0,155.0,山区公路,畅通,晴天,4.4,标准,54.2,20.0,0.76,0.18,0.59,266.0,2.5,0,1,60.0,1.552,0.458,0.347,0.123,3,3,2,7.9,0.047,0.099,1.501,11.75
跑车,插电混动,柴油,双离合,1.3,1950.0,239.0,城市道路,严重拥堵,雨天,-8.4,标准,31.9,39.3,0.27,0.15,0.48,369.0,2.7,0,1,106.0,0.517,0.255,0.904,0.22,5,1,0,13.4,0.148,0.027,1.221,24.11
皮卡,自然吸气,柴油,双离合,2.1,2271.0,346.0,城市道路,缓行,晴天,-5.8,温和,67.7,17.3,0.39,0.66,0.26,105.0,2.5,1,5,96.0,1.033,0.146,0.323,0.248,1,0,0,8.5,0.096,0.056,0.663,24.59
跑车,涡轮增压,柴油,CVT,2.6,1242.0,243.0,乡村公路,拥堵,雾天,-6.6,标准,60.8,10.6,0.63,0.78,0.45,357.0,2.4,0,3,23.0,1.587,0.852,1.033,0.101,2,3,0,4.6,0.125,0.05,1.314,24.46
轿车,混动,汽油,自动,2.2,1436.0,147.0,山区公路,拥堵,雪天,1.6,激进,102.7,6.5,0.44,0.22,0.7,279.0,2.5,1,1,146.0,3.468,0.438,2.014,0.847,5,4,3,13.0,0.167,0.045,2.349,22.03
跑车,涡轮增压,柴油,手动,2.5,1868.0,193.0,乡村公路,严重拥堵,雨天,38.3,激进,77.3,16.4,0.13,0.29,0.01,489.0,2.4,1,5,146.0,1.539,0.965,1.847,0.857,4,3,1,18.5,0.063,0.055,1.68,25.0
皮卡,混动,汽油,CVT,1.5,1744.0,327.0,城市道路,严重拥堵,雪天,20.1,温和,109.8,7.9,0.41,0.17,0.01,331.0,2.2,1,2,47.0,0.175,0.386,0.733,0.067,0,2,0,1.8,0.232,0.024,0.171,22.9
SUV,混动,柴油,手动,2.7,1215.0,336.0,高速公路,缓行,雨天,3.8,温和,50.6,6.4,0.57,0.38,0.78,272.0,2.7,1,1,54.0,1.099,0.206,0.439,0.044,1,1,0,7.6,0.339,0.006,0.488,13.12
跑车,自然吸气,柴油,自动,1.3,1474.0,326.0,高速公路,严重拥堵,雨天,-1.9,温和,25.1,22.2,0.45,0.33,0.32,265.0,2.6,0,4,161.0,0.948,0.12,0.163,0.102,0,0,1,1.8,0.178,0.042,0.295,21.43
轿车,插电混动,柴油,双离合,2.9,1538.0,366.0,高速公路,严重拥堵,雪天,31.3,激进,109.6,15.4,0.28,0.39,0.19,336.0,2.7,0,5,165.0,1.701,0.363,1.708,0.382,2,1,5,11.0,0.1,0.111,1.375,20.09
SUV,混动,柴油,CVT,2.7,2306.0,160.0,高速公路,拥堵,雾天,30.9,标准,113.4,29.1,0.76,0.49,0.62,8.0,2.0,1,5,178.0,2.383,0.349,0.41,0.473,2,0,3,13.1,0.179,0.072,1.324,23.41
跑车,插电混动,汽油,双离合,2.7,1758.0,183.0,高速公路,缓行,雪天,0.9,温和,96.9,12.9,0.65,0.26,0.5,374.0,2.1,1,5,26.0,0.786,0.391,0.091,0.228,0,0,1,5.0,0.064,0.005,0.344,18.77
轿车,自然吸气,柴油,自动,2.3,1913.0,152.0,城市道路,缓行,雪天,18.2,标准,49.6,28.2,0.87,0.14,0.71,288.0,2.5,1,1,14.0,0.489,0.589,0.591,0.555,1,1,1,16.5,0.223,0.081,1.319,20.44
SUV,插电混动,柴油,CVT,3.8,1585.0,100.0,城市道路,严重拥堵,晴天,26.4,标准,47.2,12.6,0.63,0.54,0.47,8.0,2.3,0,4,133.0,1.469,0.387,0.306,0.111,3,1,1,3.0,0.205,0.043,0.682,19.76
轿车,混动,汽油,CVT,3.6,2445.0,270.0,城市道路,拥堵,晴天,2.0,激进,71.4,8.0,0.54,0.37,0.49,194.0,2.1,0,2,63.0,0.754,0.387,2.224,0.45,6,3,0,18.7,0.049,0.104,2.01,25.0
轿车,混动,柴油,手动,3.1,2180.0,362.0,高速公路,严重拥堵,雾天,12.2,激进,70.0,30.6,0.6,0.23,0.02,142.0,2.6,0,1,170.0,1.068,0.327,2.174,0.178,3,0,0,17.7,0.112,0.042,1.885,25.0
MPV,涡轮增压,汽油,CVT,1.8,1600.0,284.0,山区公路,畅通,雪天,13.3,温和,109.8,33.3,0.57,0.61,0.29,320.0,2.2,0,1,140.0,0.734,0.2,0.689,0.036,0,0,1,4.0,0.263,0.024,0.717,21.32
SUV,插电混动,柴油,手动,2.4,1736.0,380.0,城市道路,畅通,雾天,7.0,激进,45.1,9.2,0.57,0.78,0.3,31.0,2.5,0,2,32.0,2.523,1.347,1.115,0.377,1,2,2,5.9,0.152,0.169,1.91,22.01
MPV,插电混动,汽油,手动,2.7,1722.0,201.0,乡村公路,缓行,雾天,17.6,温和,32.7,18.7,0.23,0.61,0.17,29.0,2.6,1,1,174.0,0.756,0.195,0.614,0.176,0,1,0,3.7,0.103,0.009,0.475,15.07
跑车,自然吸气,柴油,CVT,2.8,1305.0,382.0,山区公路,畅通,雾天,31.4,标准,95.5,25.5,0.76,0.16,0.38,315.0,2.8,0,3,55.0,2.276,0.217,1.328,0.584,1,0,0,10.7,0.176,0.112,1.308,24.57
轿车,混动,汽油,CVT,3.9,1229.0,395.0,城市道路,拥堵,雨天,9.0,温和,28.6,33.5,0.32,0.19,0.35,322.0,2.1,1,2,120.0,1.098,0.209,0.209,0.149,0,2,0,7.5,0.226,0.05,0.624,20.2
皮卡,插电混动,汽油,CVT,3.4,1978.0,224.0,高速公路,畅通,雾天,-0.8,温和,115.8,23.9,0.58,0.25,0.5,286.0,2.1,0,1,121.0,0.952,0.264,0.216,0.21,0,0,0,2.9,0.121,0.023,0.188,16.94
SUV,自然吸气,柴油,手动,2.4,1698.0,352.0,乡村公路,严重拥堵,雾天,33.9,标准,34.5,22.7,0.15,0.15,0.46,283.0,2.6,0,3,192.0,0.402,0.196,0.181,0.16,2,2,0,5.5,0.074,0.015,1.078,22.17
MPV,自然吸气,柴油,双离合,1.7,1666.0,397.0,乡村公路,畅通,雪天,-9.8,标准,88.4,38.2,0.21,0.37,0.44,38.0,2.7,1,4,128.0,1.163,0.502,0.693,0.073,1,0,3,8.9,0.098,0.012,0.569,20.05
MPV,涡轮增压,柴油,双离合,2.6,1818.0,377.0,山区公路,拥堵,雪天,33.7,温和,27.3,14.8,0.38,0.65,0.79,120.0,2.8,0,4,45.0,0.569,0.22,0.735,0.079,1,1,0,7.7,0.301,0.052,0.195,24.49
跑车,涡轮增压,柴油,CVT,3.1,1382.0,225.0,乡村公路,畅通,晴天,9.8,标准,74.9,19.1,0.52,0.8,0.11,338.0,2.1,1,4,32.0,2.293,0.806,1.372,0.595,1,2,0,11.9,0.175,0.019,1.008,23.86
跑车,插电混动,汽油,CVT,1.6,2165.0,108.0,山区公路,拥堵,雾天,29.8,温和,55.5,32.3,0.55,0.28,0.56,284.0,2.7,1,3,122.0,0.663,0.112,0.24,0.143,1,0,0,5.2,0.146,0.044,0.168,23.81
轿车,自然吸气,柴油,双离合,2.8,2424.0,152.0,乡村公路,缓行,晴天,34.8,温和,67.2,8.2,0.6,0.49,0.33,261.0,2.2,0,2,5.0,1.055,0.285,0.675,0.191,1,2,0,3.5,0.12,0.015,0.38,18.25
轿车,涡轮增压,柴油,自动,2.3,2000.0,124.0,乡村公路,严重拥堵,晴天,30.6,激进,28.8,11.0,0.51,0.25,0.23,200.0,2.0,1,3,130.0,2.557,1.114,2.111,0.106,2,6,1,9.7,0.165,0.046,0.946,25.0
MPV,插电混动,汽油,CVT,1.4,2317.0,250.0,高速公路,拥堵,雾天,0.5,标准,87.5,13.4,0.71,0.63,0.25,205.0,3.0,0,1,129.0,2.263,0.357,1.199,0.474,3,2,0,10.6,0.115,0.051,1.268,20.96
轿车,涡轮增压,柴油,双离合,2.2,1550.0,160.0,山区公路,畅通,雪天,-0.9,标准,98.3,36.8,0.4,0.63,0.72,423.0,3.0,0,5,75.0,1.012,0.169,0.791,0.119,1,2,3,13.4,0.258,0.082,0.797,19.4
MPV,插电混动,汽油,自动,2.5,2039.0,253.0,城市道路,缓行,晴天,6.4,标准,32.0,15.9,0.74,0.7,0.11,476.0,2.7,1,1,150.0,2.005,0.858,0.552,0.524,0,3,1,3.8,0.206,0.057,1.574,23.04
MPV,混动,汽油,自动,3.5,1914.0,157.0,乡村公路,拥堵,雨天,25.5,激进,92.0,22.9,0.58,0.42,0.66,415.0,2.1,1,5,168.0,2.564,0.996,0.931,0.802,2,1,3,10.1,0.171,0.054,2.195,25.0
SUV,自然吸气,汽油,CVT,2.2,1381.0,103.0,高速公路,缓行,雾天,12.0,温和,74.4,39.2,0.4,0.35,0.28,260.0,2.9,1,4,101.0,0.683,0.114,0.738,0.097,0,1,0,4.7,0.296,0.012,0.765,16.18
跑车,涡轮增压,汽油,双离合,2.4,1534.0,326.0,城市道路,拥堵,雾天,7.3,激进,71.3,16.2,0.58,0.8,0.35,460.0,2.1,1,4,41.0,1.769,0.437,0.18,0.831,3,0,3,16.0,0.082,0.067,1.848,25.0
跑车,自然吸气,汽油,CVT,3.2,1344.0,111.0,乡村公路,畅通,雾天,30.1,标准,119.4,13.1,0.14,0.23,0.03,196.0,2.3,0,5,89.0,1.719,0.517,1.309,0.528,0,3,2,11.1,0.268,0.103,0.446,19.25
跑车,涡轮增压,汽油,自动,1.0,1725.0,170.0,山区公路,畅通,晴天,1.7,激进,101.9,16.8,0.76,0.1,0.25,121.0,2.1,1,2,37.0,2.2,0.521,1.044,0.395,4,1,1,11.7,0.055,0.141,0.726,25.0
SUV,混动,汽油,自动,2.9,1361.0,121.0,乡村公路,拥堵,晴天,2.3,标准,110.9,11.7,0.76,0.48,0.06,478.0,2.9,1,2,34.0,2.093,0.13,0.826,0.475,4,0,0,8.7,0.133,0.065,0.54,19.51
MPV,自然吸气,汽油,手动,1.9,1854.0,339.0,高速公路,缓行,雪天,10.7,激进,93.9,27.6,0.22,0.48,0.07,189.0,2.0,0,1,55.0,3.46,1.296,0.909,0.125,2,0,1,26.6,0.087,0.14,1.221,24.83
轿车,混动,汽油,CVT,2.9,1450.0,144.0,山区公路,畅通,雾天,6.7,激进,113.8,37.1,0.81,0.54,0.65,35.0,2.3,1,4,127.0,1.571,0.354,1.415,0.75,1,1,1,18.0,0.134,0.065,2.304,20.13
SUV,插电混动,柴油,双离合,3.4,1434.0,133.0,山区公路,畅通,晴天,-7.2,温和,108.4,17.0,0.65,0.12,0.55,158.0,2.6,1,4,48.0,0.556,0.091,0.162,0.11,0,1,0,2.4,0.152,0.056,0.271,13.04
皮卡,涡轮增压,柴油,CVT,3.9,1468.0,322.0,高速公路,拥堵,雪天,35.8,激进,74.7,36.0,0.54,0.47,0.16,83.0,2.3,1,2,74.0,2.843,0.576,2.151,0.688,2,1,0,21.2,0.168,0.076,1.22,25.0
MPV,自然吸气,柴油,双离合,2.5,1657.0,373.0,高速公路,严重拥堵,晴天,8.2,标准,76.9,31.7,0.75,0.34,0.35,424.0,2.8,0,2,188.0,1.609,0.698,1.231,0.516,1,1,1,8.4,0.188,0.022,1.424,24.67
轿车,自然吸气,柴油,CVT,2.6,1465.0,188.0,山区公路,严重拥堵,雨天,11.4,温和,94.9,21.9,0.27,0.78,0.57,479.0,2.5,1,2,180.0,0.701,0.336,0.234,0.151,0,0,0,1.8,0.353,0.015,0.647,21.32
SUV,插电混动,柴油,手动,1.5,2147.0,280.0,山区公路,拥堵,雾天,-6.6,温和,93.1,31.9,0.88,0.5,0.27,324.0,2.9,1,5,24.0,0.494,0.378,0.472,0.136,1,0,1,7.3,0.314,0.011,0.473,24.55
皮卡,涡轮增压,汽油,双离合,1.5,2119.0,261.0,乡村公路,畅通,晴天,32.9,标准,83.5,11.9,0.27,0.13,0.26,280.0,2.7,1,3,87.0,2.302,0.681,1.404,0.345,1,1,0,11.0,0.172,0.072,0.549,21.72
跑车,自然吸气,汽油,CVT,3.9,2146.0,377.0,山区公路,缓行,雪天,14.5,激进,96.2,25.7,0.25,0.57,0.5,301.0,2.5,1,3,67.0,2.086,0.411,1.847,0.24,1,2,1,25.5,0.168,0.09,1.188,25.0
轿车,插电混动,汽油,双离合,3.2,1248.0,242.0,高速公路,拥堵,雪天,-5.7,温和,53.6,37.2,0.11,0.49,0.59,243.0,3.0,1,5,104.0,0.795,0.152,0.394,0.146,0,0,1,3.0,0.211,0.046,0.196,13.81
MPV,自然吸气,汽油,CVT,1.1,1269.0,350.0,城市道路,严重拥堵,雪天,-8.0,标准,31.8,6.6,0.45,0.69,0.21,211.0,2.4,0,2,116.0,1.499,0.379,0.555,0.118,1,5,0,12.5,0.148,0.058,1.437,24.63
跑车,插电混动,汽油,CVT,1.8,1613.0,377.0,城市道路,畅通,雨天,7.2,激进,25.6,22.0,0.83,0.53,0.44,125.0,2.9,1,5,112.0,2.071,0.297,0.213,0.871,2,3,2,24.3,0.127,0.162,1.853,25.0
皮卡,涡轮增压,汽油,CVT,1.6,2381.0,328.0,乡村公路,拥堵,雨天,20.8,标准,87.6,15.5,0.25,0.63,0.38,113.0,2.0,1,5,65.0,1.284,0.235,1.479,0.173,0,0,1,11.5,0.05,0.004,0.969,25.0
跑车,插电混动,柴油,手动,3.4,2351.0,126.0,山区公路,畅通,雪天,27.6,标准,73.8,37.0,0.41,0.68,0.11,468.0,2.9,1,5,135.0,1.063,0.852,0.5,0.239,3,2,0,7.2,0.114,0.118,1.264,25.0
MPV,自然吸气,柴油,双离合,2.3,2330.0,154.0,乡村公路,缓行,晴天,12.2,激进,114.8,12.7,0.36,0.63,0.32,304.0,2.7,0,5,46.0,0.634,0.531,1.162,0.226,2,2,2,20.3,0.092,0.091,0.467,22.97
跑车,插电混动,汽油,手动,3.1,2060.0,112.0,高速公路,畅通,晴天,19.1,温和,56.8,39.3,0.44,0.45,0.73,359.0,2.8,1,3,173.0,0.63,0.245,0.326,0.291,1,1,0,5.6,0.185,0.053,0.303,17.64
皮卡,涡轮增压,柴油,手动,1.2,2463.0,254.0,高速公路,严重拥堵,雾天,4.9,激进,49.1,21.4,0.79,0.31,0.15,65.0,2.8,0,5,94.0,1.167,0.374,0.869,0.851,3,4,0,20.7,0.072,0.033,0.539,25.0
SUV,混动,柴油,CVT,1.1,2207.0,140.0,山区公路,拥堵,雨天,28.1,标准,66.8,26.2,0.44,0.12,0.63,5.0,2.9,1,3,87.0,1.425,0.492,0.657,0.539,4,1,0,17.4,0.077,0.07,0.724,20.05
跑车,插电混动,汽油,CVT,4.0,1271.0,274.0,高速公路,拥堵,雪天,-5.7,温和,28.3,10.4,0.45,0.46,0.21,158.0,2.3,1,2,193.0,1.142,0.191,0.454,0.276,0,2,0,8.7,0.221,0.001,0.343,20.58
皮卡,混动,柴油,双离合,2.3,2101.0,320.0,乡村公路,拥堵,雪天,38.9,温和,119.5,15.1,0.53,0.47,0.32,85.0,2.9,1,3,100.0,0.783,0.149,0.435,0.218,2,0,1,4.4,0.164,0.026,0.736,22.9
SUV,混动,汽油,CVT,2.7,1645.0,343.0,乡村公路,畅通,雪天,15.6,标准,43.8,12.9,0.5,0.28,0.01,324.0,2.4,1,2,193.0,1.5,0.793,0.312,0.367,3,0,1,16.0,0.1,0.116,1.737,20.6
SUV,混动,柴油,手动,1.7,1652.0,369.0,高速公路,畅通,雨天,26.8,温和,116.7,20.5,0.36,0.47,0.55,137.0,2.1,0,2,10.0,0.556,0.198,0.278,0.163,0,0,0,8.8,0.183,0.027,0.582,11.66
轿车,自然吸气,柴油,自动,2.8,1315.0,303.0,乡村公路,严重拥堵,晴天,32.2,激进,26.4,25.9,0.69,0.25,0.67,15.0,2.5,0,5,44.0,0.871,1.295,0.33,0.251,3,1,0,13.8,0.136,0.039,1.275,21.19
SUV,插电混动,柴油,CVT,2.2,2469.0,386.0,山区公路,缓行,雪天,28.9,标准,100.0,13.5,0.15,0.32,0.21,253.0,2.9,0,1,169.0,1.055,0.656,0.552,0.093,1,1,2,15.2,0.111,0.054,1.391,22.91
跑车,涡轮增压,汽油,双离合,2.8,2390.0,147.0,高速公路,严重拥堵,雨天,34.5,温和,95.2,24.9,0.32,0.43,0.27,290.0,2.6,1,2,126.0,0.695,0.08,0.221,0.163,0,0,0,3.9,0.137,0.028,0.25,25.0
MPV,自然吸气,汽油,双离合,3.8,2328.0,312.0,乡村公路,畅通,雪天,31.7,标准,30.6,32.2,0.75,0.64,0.09,322.0,2.6,1,2,129.0,1.263,0.532,0.167,0.405,0,1,1,13.4,0.224,0.02,0.456,25.0
跑车,插电混动,柴油,双离合,1.3,2044.0,360.0,高速公路,畅通,雪天,-3.2,温和,102.8,26.9,0.16,0.18,0.04,129.0,2.3,1,2,77.0,1.14,0.298,0.636,0.222,0,1,1,9.0,0.139,0.017,0.848,17.56
轿车,混动,柴油,CVT,1.1,2106.0,318.0,高速公路,缓行,雾天,22.4,标准,103.6,39.1,0.88,0.15,0.66,323.0,2.1,0,4,130.0,2.363,0.831,0.726,0.082,3,0,1,16.9,0.189,0.037,1.088,17.58
轿车,涡轮增压,汽油,CVT,2.1,2087.0,299.0,山区公路,拥堵,雨天,19.9,温和,91.5,14.4,0.35,0.19,0.52,20.0,2.9,1,2,178.0,0.621,0.239,0.113,0.211,1,0,2,5.6,0.118,0.006,0.833,20.9
皮卡,混动,柴油,CVT,3.5,2188.0,115.0,乡村公路,畅通,雪天,19.1,激进,104.4,20.3,0.37,0.48,0.07,378.0,2.2,0,1,38.0,1.03,0.247,1.397,0.771,0,0,2,12.4,0.119,0.049,0.51,22.09
轿车,插电混动,柴油,手动,2.7,2164.0,303.0,高速公路,严重拥堵,雪天,38.1,激进,40.6,17.3,0.2,0.19,0.54,429.0,2.6,1,3,37.0,0.783,1.131,1.378,0.591,3,3,2,17.5,0.055,0.128,0.846,22.6
跑车,涡轮增压,汽油,CVT,1.7,1843.0,374.0,高速公路,严重拥堵,雨天,22.3,标准,41.2,10.0,0.71,0.45,0.73,73.0,2.2,1,5,31.0,1.735,0.583,1.162,0.227,3,0,0,11.5,0.102,0.11,0.699,25.0
皮卡,涡轮增压,汽油,手动,1.5,2459.0,236.0,城市道路,严重拥堵,雪天,-2.8,温和,114.6,28.7,0.34,0.23,0.24,47.0,2.1,0,5,85.0,0.985,0.115,0.15,0.204,0,0,0,8.4,0.306,0.021,0.642,25.0
跑车,涡轮增压,汽油,自动,2.6,2080.0,305.0,高速公路,拥堵,雾天,31.6,温和,82.9,14.3,0.13,0.42,0.71,285.0,3.0,1,1,33.0,0.876,0.323,0.736,0.296,1,1,2,6.2,0.189,0.026,0.383,24.27
跑车,插电混动,汽油,手动,1.8,1287.0,180.0,山区公路,缓行,雾天,8.8,标准,111.2,27.2,0.68,0.28,0.58,14.0,2.6,1,3,29.0,2.028,0.303,1.02,0.279,1,0,1,15.3,0.27,0.025,0.698,19.67
轿车,插电混动,柴油,双离合,3.0,2455.0,375.0,城市道路,缓行,晴天,5.0,温和,70.3,32.8,0.21,0.78,0.77,82.0,2.1,1,1,54.0,1.007,0.208,0.121,0.122,2,0,2,2.0,0.077,0.007,0.586,19.08
跑车,自然吸气,汽油,自动,3.5,1780.0,313.0,山区公路,畅通,雪天,16.7,标准,93.2,11.1,0.39,0.55,0.06,181.0,3.0,0,4,95.0,2.014,0.457,1.219,0.382,3,1,0,3.3,0.242,0.028,0.617,25.0
MPV,插电混动,柴油,自动,3.2,1616.0,252.0,山区公路,严重拥堵,晴天,-2.8,激进,36.3,38.6,0.78,0.7,0.33,381.0,2.0,1,1,4.0,2.298,0.713,1.252,0.096,4,2,0,18.6,0.154,0.075,1.031,25.0
